amfi_code,scheme_name,beta,alpha_annualized,r_squared
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.07041956562265146,0.2546821851540129,0.00035195511244880617
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.07377970531757133,0.029181447691498517,0.003048870516814413
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.14700551876476708,0.3665035322126598,0.0007648099868917416
101206,ABSL Frontline Equity Fund - Regular - Growth,-0.06631382525565938,0.32491199879488336,0.00024114588038234673
101207,ABSL Small Cap Fund - Regular - Growth,-0.035327653498556905,0.23114610876522784,3.35144016830767e-05
101208,ABSL Liquid Fund - Regular - Growth,-0.03215725739236764,0.03640965754289993,0.0007715540416957977
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.0996421876039957,0.28066599891504507,0.0006622120775138067
102886,UTI Mid Cap Fund - Regular - Growth,0.055261180774081965,0.09474245071181761,0.0001309166981245374
102887,UTI Flexi Cap Fund - Regular - Growth,0.021098782855651966,0.5109042264969741,1.5752765771439123e-05
118632,Nippon India Large Cap Fund - Regular - Growth,-0.24326217356115828,0.26699223512656955,0.002196797350210172
118633,Nippon India Large Cap Fund - Direct - Growth,-0.0768178634777877,0.2518340094403254,0.0003464913887688946
118634,Nippon India Small Cap Fund - Regular - Growth,0.24889690625958097,0.4266896583709043,0.001723307175805032
118635,Nippon India ETF Nifty 50 BeES,-0.22518770159510462,0.28181339414994816,0.0030772534483114863
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.026586432534672782,0.0029643558268279665,0.00022649796715481745
119092,Axis Bluechip Fund - Regular - Growth,-0.1468958452647244,0.11689316786073081,0.0019468180900785589
119093,Axis Bluechip Fund - Direct - Growth,-0.09907282508910575,0.28825863862653195,0.0005502065700881343
119094,Axis Midcap Fund - Regular - Growth,0.016032841754598934,0.5351845355067028,5.605351012732739e-06
119095,Axis Small Cap Fund - Regular - Growth,-0.3109495008640229,0.2669092275220848,0.002195654052704415
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.07065283253875662,0.026417939535854335,0.002309431765655888
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.23118528208729996,0.5793384263248054,0.0019387685452203478
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.20323215449090035,0.2672461083815332,0.001960132004034908
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.08498937018581944,0.5568140645991769,0.00012162897302171376
119599,SBI Small Cap Fund - Direct Plan - Growth,0.46175847274364573,0.36088782714767526,0.0038007626971445245
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.06409337568972108,0.21934313754173584,0.00015967436447117842
120504,ICICI Pru Bluechip Fund - Direct - Growth,-0.17908292852352342,0.36281765230075047,0.0011435013081023957
120505,ICICI Pru Midcap Fund - Regular - Growth,-0.16948470437723878,0.49838372991239577,0.0005960785254053315
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-2.819113165947696e-06,0.27470859951121873,4.122597549697085e-13
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.03516540138601817,0.048735509542650525,0.0007155127389667971
120841,Kotak Bluechip Fund - Regular - Growth,-0.23855347372875316,0.34036474449049947,0.0026141347490820314
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.11134000604654422,0.15474182602106673,0.0008446260116417189
120843,Kotak Flexicap Fund - Regular - Growth,-0.23624546693692122,0.6018333697055032,0.0011461096041620112
120844,Kotak Liquid Fund - Regular - Growth,-0.0400273003737565,0.04069857104140688,0.0010118891456484284
125497,HDFC Top 100 Fund - Direct Plan - Growth,-0.18768933750806732,0.3832963559700492,0.0014916881866457057
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.298707155304957,0.2524148419073673,0.004846526004568101
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.1760221888387501,0.5897244464766217,0.000739147880736578
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.1374582711917531,0.5079633480565878,0.0006015697957035278
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-0.10325793064557948,0.5589913493903518,0.0003066403924453573
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.1381392484702557,0.3339255392641977,0.0010868691896208655
149323,DSP Midcap Fund - Regular - Growth,-0.1978232722900581,0.3597812601786568,0.0009123090764671922
149324,DSP Small Cap Fund - Regular - Growth,-0.19852933455942948,1.0492887853508575,0.0006199954844998625
